Oceanographic_Variable,n,Mean,SEM,SD,Min,Max
Glider Depth (m),262,235.98182415865983,8.67611376577337,140.43516981183967,9.92205963125957,499.399620651202
Water Temperature (°C),262,19.805544689989745,0.34817708953777476,5.635738536154499,10.5303983501196,27.7463059202816
Salinity (PSU),262,36.70154317106571,0.03414852343082501,0.5527421396605007,35.5611565765307,37.6752712964983
Dissolved Oxygen Concentration (µmol/L),262,158.95278359495916,1.5511927447131193,25.10824804695984,117.30200349974633,194.32886700057983
Bathymetric Depth (m),262,-2060.2528947400765,65.99363973284012,1068.2003777939926,-3963.3193359,-541.2359619
Bathymetric Slope (°),262,6.508437988167938,0.43016504903438946,6.962829596192829,0.2468603,39.8970528
Distance to Nearest Shoreline (m),262,39986.58531937513,1241.2519921000348,20091.418692262225,4195.105771475495,65863.90672524761
