Oceanographic_Variable,n,Mean,SEM,SD,Min,Max,n Background,Background Conditions Mean,Background Conditions SEM,Background Conditions SD,Background Conditions Min,Background Conditions Max
Glider Depth (m),262,235.98182415865983,8.67611376577337,140.43516981183967,9.92205963125957,499.399620651202,992139,217.9723367910042,0.1409796481784813,140.42443438458642,0,503.3195495605469
Water Temperature (°C),262,19.805544689989745,0.34817708953777476,5.635738536154499,10.5303983501196,27.7463059202816,986198,20.025993437828927,0.005361598780331333,5.3244698285675565,10.2362,29.8794
Salinity (PSU),262,36.70154317106571,0.03414852343082501,0.5527421396605007,35.5611565765307,37.6752712964983,986197,36.7821986878433,5.464319478724583e-4,0.5426476437206924,35.472954,37.772457
Dissolved Oxygen Concentration (µmol/L),262,158.95278359495916,1.5511927447131193,25.10824804695984,117.30200349974633,194.32886700057983,676275,161.1737881054304,0.028453566768159265,23.399058393430046,116.051,197.165
Bathymetric Depth (m),262,-2060.2528947400765,65.99363973284012,1068.2003777939926,-3963.3193359,-541.2359619,173735,-1945.269715371954,3.446989683909426,1436.7580627063533,-5428,0
Bathymetric Slope (°),262,6.508437988167938,0.43016504903438946,6.962829596192829,0.2468603,39.8970528,172829,4.897777023356028,0.013816187374883564,5.743763150255544,0,77.2713394
Distance to Nearest Shoreline (m),262,39986.58531937513,1241.2519921000348,20091.418692262225,4195.105771475495,65863.90672524761,3844,34077.6736861403,402.0558423679699,24927.462226814132,3950.0705128428526,85609.30574370422
