Oceanographic Variable,Detection Conditions Mean,Detection Conditions SEM,Detection Conditions SD,Detection Conditions Min,Detection Conditions Max,Background Conditions Mean,Difference in Means
Water Temperature (°C),19.805544689989745,0.34817708953777476,5.635738536154499,10.5303983501196,27.7463059202816,20.025993437828927,-0.2204
Salinity (PSU),36.70154317106571,0.03414852343082501,0.5527421396605007,35.5611565765307,37.6752712964983,36.7821986878433,-0.0807
Dissolved Oxygen Concentration (µmol/L),158.95278359495916,1.5511927447131193,25.10824804695984,117.30200349974633,194.32886700057983,161.1737881054304,-2.2210
Bathymetric Depth (m),-2060.2528947400765,65.99363973284012,1068.2003777939926,-3963.3193359,-541.2359619,-1945.269715371954,-114.9832
Bathymetric Slope (°),6.508437988167938,0.43016504903438946,6.962829596192829,0.2468603,39.8970528,4.897777023356028,+1.6107
Distance to Nearest Shoreline (m),39986.58531937513,1241.2519921000348,20091.418692262225,4195.105771475495,65863.90672524761,34077.6736861403,+5908.9116
