Oceanographic_Variable,n,Mean,SEM,SD,Min,Max
Bathymetric Depth (m),5694,-1946.7274323849635,13.20763947558025,996.6299566555589,-4556,-387
Bathymetric Slope (°),5694,8.517564809589043,0.09293084055647521,7.012430931886532,0.0222039,38.6274261
Distance to Nearest Shoreline (m),3844,34077.6736861403,402.0558423679699,24927.462226814132,3950.0705128428526,85609.30574370422
