Oceanographic_Variable,n,Mean,SEM,SD,Min,Max
Glider Depth (m),992139,217.9723367910042,0.1409796481784813,140.42443438458642,0,503.3195495605469
Water Temperature (°C),986198,20.025993437828927,0.005361598780331333,5.3244698285675565,10.2362,29.8794
Salinity (PSU),986197,36.7821986878433,5.464319478724583e-4,0.5426476437206924,35.472954,37.772457
Dissolved Oxygen Concentration (µmol/L),676275,161.1737881054304,0.028453566768159265,23.399058393430046,116.051,197.165
