pointid,grid_code,Latitude_DD,Longitude_DD
40669,-2166,18.094582559999999,-64.727226279999996
40670,-2209,18.094621109999999,-64.722916960000006
40671,-2267,18.094659560000000,-64.718607620000000
41170,-2342,18.090306290000001,-64.744422720000003
41171,-2264,18.090345220000000,-64.740113530000002
41172,-2208,18.090384050000001,-64.735804340000001
41173,-2198,18.090422780000001,-64.731495140000007
41174,-2236,18.090461420000000,-64.727185930000005
41175,-2291,18.090499959999999,-64.722876700000000
41176,-2358,18.090538400000000,-64.718567469999996
41675,-2367,18.086185180000001,-64.744381970000006
41676,-2307,18.086224099999999,-64.740072889999993
41677,-2265,18.086262919999999,-64.735763800000001
41678,-2274,18.086301639999999,-64.731454700000000
41679,-2326,18.086340270000001,-64.727145579999998
41680,-2383,18.086378799999999,-64.722836459999996
41681,-2447,18.086417229999999,-64.718527330000001
42180,-2389,18.082064070000001,-64.744341230000003
42181,-2344,18.082102979999998,-64.740032249999999
42182,-2332,18.082141790000001,-64.735723260000000
42183,-2360,18.082180500000000,-64.731414259999994
42184,-2410,18.082219120000001,-64.727105249999994
42185,-2464,18.082257640000002,-64.722796230000000
42186,-2523,18.082296060000001,-64.718487190000005
42685,-2423,18.077942960000001,-64.744300510000002
42686,-2396,18.077981850000000,-64.739991630000006
42687,-2405,18.078020649999999,-64.735682740000001
42688,-2438,18.078059360000001,-64.731373840000003
42689,-2484,18.078097960000001,-64.727064929999997
42690,-2540,18.078136480000001,-64.722756009999998
42691,-2595,18.078174890000000,-64.718447069999996
43190,-2480,18.073821840000001,-64.744259799999995
43191,-2464,18.073860730000000,-64.739951020000007
43192,-2483,18.073899520000001,-64.735642229999996
43193,-2521,18.073938210000001,-64.731333430000007
43194,-2570,18.073976810000001,-64.727024619999995
43195,-2624,18.074015310000000,-64.722715789999995
43196,-2669,18.074053719999998,-64.718406959999996
43695,-2553,18.069700720000000,-64.744219090000001
43696,-2546,18.069739599999998,-64.739910420000001
43697,-2574,18.069778379999999,-64.735601729999999
43698,-2624,18.069817069999999,-64.731293030000003
43699,-2668,18.069855660000002,-64.726984320000000
43700,-2707,18.069894150000000,-64.722675589999994
43701,-2741,18.069932550000001,-64.718366860000003
44200,-2643,18.065579600000000,-64.744178399999996
44201,-2641,18.065618470000000,-64.739869819999996
44202,-2677,18.065657240000000,-64.735561239999996
44203,-2729,18.065695920000000,-64.731252639999994
44204,-2758,18.065734500000001,-64.726944029999999
44205,-2784,18.065772979999998,-64.722635400000001
44206,-2810,18.065811369999999,-64.718326770000004
44705,-2761,18.061458479999999,-64.744137719999998
44706,-2759,18.061497339999999,-64.739829240000006
44707,-2784,18.061536100000001,-64.735520760000000
44708,-2812,18.061574770000000,-64.731212260000007
44709,-2831,18.061613340000001,-64.726903750000005
44710,-2857,18.061651810000001,-64.722595229999996
44711,-2890,18.061690190000000,-64.718286689999999
45210,-2882,18.057337359999998,-64.744097049999993
45211,-2876,18.057376210000001,-64.739788669999996
45212,-2885,18.057414959999999,-64.735480289999998
45213,-2891,18.057453620000000,-64.731171889999999
45214,-2910,18.057492180000001,-64.726863480000006
45215,-2944,18.057530640000000,-64.722555060000005
45216,-2987,18.057569010000002,-64.718246629999996
45715,-2960,18.053216230000000,-64.744056389999997
45716,-2955,18.053255069999999,-64.739748120000002
45717,-2967,18.053293810000000,-64.735439830000004
45718,-2979,18.053332460000000,-64.731131529999999
45719,-3003,18.053371009999999,-64.726823220000000
45720,-3048,18.053409469999998,-64.722514899999993
45721,-3093,18.053447830000000,-64.718206570000007
46220,-3023,18.049095099999999,-64.744015739999995
46221,-3025,18.049133930000000,-64.739707569999993
46222,-3050,18.049172670000001,-64.735399380000004
46223,-3079,18.049211310000000,-64.731091180000007
46224,-3107,18.049249849999999,-64.726782970000002
46225,-3155,18.049288300000001,-64.722474750000003
46725,-3101,18.044973970000001,-64.743975109999994
46726,-3111,18.045012799999999,-64.739667030000007
46727,-3140,18.045051520000001,-64.735358939999998
46728,-3179,18.045090150000000,-64.731050850000003
