ORIG_FID,ORIG_LEN,ORIG_SEQ,SUM_Shape_Length,Shape_Length,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,Nearest_Shoreline
,0.000000000000000,1,,,1156,12776.156476076328545,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.000943705282813,2,,,1156,12781.159733829848847,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.001887410565627,3,,,1156,12786.987684627760245,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.002831115848440,4,,,1156,12793.639175971224176,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.003774821131253,5,,,1156,12875.628784289076066,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.004718526414067,6,,,1156,12972.862095324177062,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.005662231696880,7,,,1156,13070.186793639446478,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.006605936979693,8,,,1156,13167.601110600913671,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.007549642262507,9,,,1156,13265.102816982907825,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.008493347545320,10,,,1156,13362.690193816959436,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.009437052828134,11,,,1156,13460.361457097329549,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.010380758110947,12,,,1156,13558.114516648178324,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.011324463393760,13,,,1156,13655.947821650494006,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.012268168676574,14,,,1156,13753.859672373777357,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.013211873959387,15,,,1156,13851.848256360080995,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.014155579242200,16,,,1156,13949.912040258030174,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.015099284525014,17,,,1156,14048.049500928294947,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.016042989807827,18,,,1156,14146.259057898862011,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.016986695090640,19,,,1156,14244.539206263465530,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.017930400373454,20,,,1156,14342.888444305550365,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.018874105656267,21,,,1156,14441.305554671860591,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.019817810939080,22,,,1156,14539.789029618566929,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.020761516221894,23,,,1156,14638.337531368411874,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.021705221504707,24,,,1156,14736.949689316565127,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.022648926787520,25,,,1156,14835.624437627064253,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.023592632070334,26,,,1156,14934.360268728310984,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.024536337353147,27,,,1156,15033.156323035531386,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.025480042635960,28,,,1156,15132.011149161127832,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.026423747918774,29,,,1156,15230.923666660117306,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.027367453201587,30,,,1156,15329.892769435537048,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.028311158484401,31,,,1156,15428.917292958301914,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.029254863767214,32,,,1156,15527.996391398899505,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.030198569050027,33,,,1156,15618.459473748866003,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.031142274332841,34,,,1156,15708.018458155369444,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.032085979615654,35,,,1156,15797.755625938769299,304436.013299999758601,2016806.002600003033876,"Frenchcap, U.S. Virgin Islands"
,0.033029684898467,36,,,1156,15887.667088419691936,304432.347080819192342,2016802.242742279777303,"Frenchcap, U.S. Virgin Islands"
,0.033973390181281,37,,,1156,15977.648764337202010,304395.832753643859178,2016764.795806276611984,"Frenchcap, U.S. Virgin Islands"
,0.034917095464094,38,,,1156,16067.643085364996296,304373.270800000056624,2016741.657600000500679,"Frenchcap, U.S. Virgin Islands"
,0.035860800746907,39,,,1156,16157.774464323354550,304373.270800000056624,2016741.657600000500679,"Frenchcap, U.S. Virgin Islands"
,0.036804506029721,40,,,1156,16248.072762379431879,304373.270800000056624,2016741.657600000500679,"Frenchcap, U.S. Virgin Islands"
,0.037748211312534,41,,,1156,16338.535141368965924,304373.270800000056624,2016741.657600000500679,"Frenchcap, U.S. Virgin Islands"
