pointid,grid_code,Longitude_DD,Latitude_DD
31078,29.2922688,-64.758173450000001,18.172610190000000
31079,29.3744011,-64.753862280000007,18.172649600000000
31080,30.4821987,-64.749551109999999,18.172688910000002
31563,26.2090492,-64.762443230000002,18.168449660000000
31564,25.7086926,-64.758132180000004,18.168489149999999
31565,24.5350323,-64.753821119999998,18.168528540000001
31566,24.4136410,-64.749510040000004,18.168567840000001
31567,24.4347534,-64.745198959999996,18.168607040000001
32045,21.9938869,-64.766712819999995,18.164289040000000
32046,23.2037258,-64.762401879999999,18.164328619999999
32047,23.6540699,-64.758090920000001,18.164368100000001
32048,22.8570194,-64.753779960000003,18.164407489999999
32049,22.4395523,-64.749468989999997,18.164446779999999
32050,21.6509743,-64.745158009999997,18.164485970000001
32051,19.7889919,-64.740847009999996,18.164525059999999
32521,18.4533577,-64.766671369999997,18.160168010000000
32522,19.3568192,-64.762360529999995,18.160207580000002
32523,20.5558605,-64.758049679999999,18.160247049999999
32524,20.3111305,-64.753738819999995,18.160286429999999
32525,19.0736656,-64.749427949999998,18.160325709999999
32526,17.4789219,-64.745117059999998,18.160364890000000
32527,15.9838066,-64.740806169999999,18.160403980000002
32987,17.6848927,-64.766629929999993,18.156046979999999
32988,18.1698322,-64.762319189999999,18.156086540000000
32989,18.9558697,-64.758008450000005,18.156126000000000
32990,18.6709118,-64.753697689999996,18.156165370000000
32991,16.9364090,-64.749386909999998,18.156204639999999
32992,15.5512667,-64.745076130000001,18.156243809999999
32993,14.8778934,-64.740765339999996,18.156282890000000
33444,15.6532574,-64.766588510000005,18.151925949999999
33445,15.3294153,-64.762277870000005,18.151965499999999
33446,15.1586494,-64.757967219999998,18.152004949999998
33447,14.9201326,-64.753656559999996,18.152044310000001
33448,13.4758453,-64.749345890000001,18.152083569999999
33449,12.7530336,-64.745035209999998,18.152122729999999
33450,12.8429422,-64.740724520000001,18.152161799999998
33451,13.1158113,-64.736413819999996,18.152200770000000
33896,13.5902004,-64.762236560000005,18.147844450000001
33897,12.7660456,-64.757926010000006,18.147883900000000
33898,12.7386122,-64.753615449999998,18.147923240000001
33899,11.8840685,-64.749304879999997,18.147962490000001
33900,11.3515196,-64.744994300000002,18.148001650000001
33901,11.2614708,-64.740683709999999,18.148040699999999
33902,11.2816515,-64.736373110000002,18.148079670000001
34344,12.2204208,-64.762195259999999,18.143723410000000
34345,11.0840445,-64.757884809999993,18.143762840000001
34346,11.1300468,-64.753574349999994,18.143802180000002
34347,10.9922581,-64.749263880000001,18.143841420000001
34348,10.6296787,-64.744953400000000,18.143880559999999
34349,9.9464836,-64.740642910000005,18.143919610000001
34350,9.1965065,-64.736332410000003,18.143958560000002
34351,9.0422134,-64.732021900000007,18.143997420000002
34790,9.6060944,-64.757843620000003,18.139641780000002
34791,9.5816450,-64.753533259999998,18.139681110000001
34792,9.7342739,-64.749222900000007,18.139720340000000
34793,9.0321083,-64.744912520000000,18.139759479999999
34794,7.6831689,-64.740602129999999,18.139798509999999
34795,6.5264535,-64.736291730000005,18.139837459999999
34796,6.4386449,-64.731981320000003,18.139876300000001
35234,8.9727669,-64.757802440000006,18.135520719999999
35235,8.5766602,-64.753492179999995,18.135560040000001
35236,8.2706804,-64.749181919999998,18.135599259999999
35237,6.9742374,-64.744871640000000,18.135638390000000
35238,5.3766127,-64.740561349999993,18.135677420000000
35239,4.1505570,-64.736251050000007,18.135716349999999
35240,4.5752435,-64.731940739999999,18.135755190000001
35241,5.3695388,-64.727630419999997,18.135793929999998
35683,8.4808407,-64.753451119999994,18.131438970000001
35684,7.4755459,-64.749140949999997,18.131478179999998
35685,6.1980448,-64.744830769999993,18.131517299999999
35686,4.9209385,-64.740520590000003,18.131556320000001
35687,3.7535849,-64.736210389999997,18.131595239999999
35688,3.9221404,-64.731900179999997,18.131634070000000
35689,5.3822279,-64.727589960000003,18.131672800000000
36136,9.6226120,-64.753410059999993,18.127317900000001
36137,7.8496909,-64.749099999999999,18.127357100000001
36138,6.6223869,-64.744789920000002,18.127396210000001
36139,5.7816463,-64.740479829999998,18.127435219999999
36140,5.2458925,-64.736169739999994,18.127474130000000
36141,4.7963157,-64.731859630000002,18.127512950000000
36142,6.1121521,-64.727549510000003,18.127551669999999
36597,8.4310074,-64.749059050000000,18.123236009999999
36598,6.8099160,-64.744749080000005,18.123275110000002
36599,6.4861970,-64.740439089999995,18.123314109999999
36600,6.7207923,-64.736129090000006,18.123353020000000
36601,6.6248727,-64.731819090000002,18.123391819999998
36602,7.1177888,-64.727509069999996,18.123430540000001
37059,9.0518847,-64.749018120000002,18.119114929999999
37060,6.5096149,-64.744708239999994,18.119154020000000
37061,6.2639718,-64.740398360000000,18.119193010000000
37062,6.8625603,-64.736088460000005,18.119231899999999
37063,7.5609045,-64.731778550000001,18.119270700000001
37064,8.3372955,-64.727468639999998,18.119309399999999
37065,8.6934376,-64.723158710000007,18.119348010000000
37531,10.0964499,-64.748977190000005,18.114993840000000
37532,7.5164289,-64.744667419999999,18.115032920000001
37533,6.9512239,-64.740357639999999,18.115071900000000
37534,7.0722451,-64.736047839999998,18.115110779999998
37535,7.9180388,-64.731738030000002,18.115149570000000
37536,8.9870043,-64.727428219999993,18.115188270000001
37537,9.1659994,-64.723118389999996,18.115226860000000
38006,11.5236959,-64.748936279999995,18.110872749999999
38007,10.8835583,-64.744626609999997,18.110911819999998
38008,9.9852228,-64.740316930000006,18.110950790000000
38009,8.3711367,-64.736007229999998,18.110989669999999
38010,8.0734491,-64.731697530000005,18.111028449999999
38011,8.4282799,-64.727387809999996,18.111067129999999
38012,8.0151596,-64.723078079999993,18.111105720000001
38483,12.9431362,-64.744585810000004,18.106790719999999
38484,11.5874605,-64.740276230000006,18.106829680000001
38485,8.5574474,-64.735966629999993,18.106868550000002
38486,7.3973403,-64.731657029999994,18.106907320000001
38487,7.5164289,-64.727347409999993,18.106945990000000
38488,7.3375478,-64.723037779999999,18.106984570000002
38960,11.9389782,-64.744545020000004,18.102669610000000
38961,11.0745649,-64.740235540000000,18.102708570000001
38962,7.7959352,-64.735926039999995,18.102747420000000
38963,6.5704002,-64.731616540000005,18.102786179999999
38964,7.1526432,-64.727307019999998,18.102824850000001
38965,7.7743421,-64.722997500000005,18.102863419999998
38966,9.7074347,-64.718687959999997,18.102901889999998
39446,11.2185888,-64.744504239999998,18.098548510000001
39447,11.2055578,-64.740194860000003,18.098587450000000
